county,age,confirmed,deaths
Lyon,Elderly,0,0
Madison,Child,0,0
Madison,Adult,0,0
Madison,Middle Age,5,0
Madison,Older Adult,1,1
Madison,Elderly,1,0
Mahaska,Child,0,0
Mahaska,Adult,2,0
Mahaska,Middle Age,0,0
Mahaska,Older Adult,1,0
Mahaska,Elderly,0,0
Marion,Child,0,0
Marion,Adult,2,0
Marion,Middle Age,0,0
Marion,Older Adult,1,0
Marion,Elderly,0,0
Marshall,Child,0,0
Marshall,Adult,20,0
Marshall,Middle Age,18,0
Marshall,Older Adult,6,0
Marshall,Elderly,0,0
Mills,Child,0,0
Mills,Adult,0,0
Mills,Middle Age,2,0
Mills,Older Adult,0,0
Mills,Elderly,0,0
Mitchell,Child,0,0
Mitchell,Adult,0,0
Mitchell,Middle Age,2,0
Mitchell,Older Adult,0,0
Mitchell,Elderly,0,0
Monona,Child,1,0
Monona,Adult,1,0
Monona,Middle Age,0,0
Monona,Older Adult,2,0
Monona,Elderly,2,0
Monroe,Child,0,0
Monroe,Adult,0,0
Monroe,Middle Age,0,0
Monroe,Older Adult,0,0
Monroe,Elderly,0,0
Montgomery,Child,0,0
Montgomery,Adult,0,0
Montgomery,Middle Age,1,0
Montgomery,Older Adult,0,0
Montgomery,Elderly,0,0
Muscatine,Child,4,0
Muscatine,Adult,41,0
Muscatine,Middle Age,58,1
Muscatine,Older Adult,27,1
Muscatine,Elderly,3,0
O'Brien,Child,0,0
O'Brien,Adult,0,0
O'Brien,Middle Age,2,0
O'Brien,Older Adult,1,0
O'Brien,Elderly,0,0
Osceola,Child,0,0
Osceola,Adult,0,0
Osceola,Middle Age,2,0
Osceola,Older Adult,0,0
Osceola,Elderly,0,0
Page,Child,0,0
Page,Adult,0,0
Page,Middle Age,2,0
Page,Older Adult,1,0
Page,Elderly,0,0
Palo Alto,Child,0,0
Palo Alto,Adult,0,0
Palo Alto,Middle Age,0,0
Palo Alto,Older Adult,0,0
Palo Alto,Elderly,0,0
Plymouth,Child,0,0
Plymouth,Adult,4,0
Plymouth,Middle Age,0,0
Plymouth,Older Adult,0,0
Plymouth,Elderly,0,0
Pocahontas,Child,0,0
Pocahontas,Adult,0,0
Pocahontas,Middle Age,0,0
Pocahontas,Older Adult,0,0
Pocahontas,Elderly,0,0
Polk,Child,4,0
Polk,Adult,72,1
Polk,Middle Age,71,0
Polk,Older Adult,62,3
Polk,Elderly,15,3
Pottawattamie,Child,1,0
Pottawattamie,Adult,1,0
Pottawattamie,Middle Age,8,1
Pottawattamie,Older Adult,4,0
Pottawattamie,Elderly,0,0
Poweshiek,Child,0,0
Poweshiek,Adult,1,0
Poweshiek,Middle Age,1,0
Poweshiek,Older Adult,3,1
Poweshiek,Elderly,1,0
Ringgold,Child,0,0
